Generated_Prompt,Original_Question,Original_Answer
"[INST] I got a list of dictionaries and want that to be sorted by a value of that dictionary.
This
[{'name':'Homer', 'age':39}, {'name':'Bart', 'age':10}]

sorted by name, should become
[{'name':'Bart', 'age':10}, {'name':'Homer', 'age':39}]

 [/INST] sorted by string, key=str, value=39, compare=Homer, val=39]

  d = {'name':'Bart', 'age':39}
  d.sorted(key='name, val=39)

  d.sorted_by_key='name'

  d = {'name':'Homer', 'age':39}
  d.sorted_by_key('name', 'age'):
  d.sorted_by_key('name', 'age'):

  d = {'name':'Bart', 'age':10, 'lname': 'Homer', 'age':10}

  d = {('name':'Homer', 'age':39}, ('name':'Homer', 'age':10)}

  d.sorted_by_key('name', 'age'):
  d.sorted_by_key('name'): d.key('name', 'age'): d.sorted_by_key('lname'): d.key('name', 'age'): d.sorted_by_key('lname', 'age'):

  supr(Homer, 'age', 39):
  l = { 'name': 'Homer', 'age':10}
  d.sorted_by_name('name', 'age'):

  supr is not the dict, and this way it doesn't sort the dictionaries properly.
  d.sorted_by_name, 'l':'Homer', 'age':10} = d.sorted_by_name, 'name':'Bart', 'age':10}

  d = d.sorted_by_name

  d = d.sorted","I got a list of dictionaries and want that to be sorted by a value of that dictionary.
This
[{'name':'Homer', 'age':39}, {'name':'Bart', 'age':10}]

sorted by name, should become
[{'name':'Bart', 'age':10}, {'name':'Homer', 'age':39}]

","Using Schwartzian transform from Perl,
py = [{'name':'Homer', 'age':39}, {'name':'Bart', 'age':10}]

do
sort_on = ""name""
decorated = [(dict_[sort_on], dict_) for dict_ in py]
decorated.sort()
result = [dict_ for (key, dict_) in decorated]

gives
>>> result
[{'age': 10, 'name': 'Bart'}, {'age': 39, 'name': 'Homer'}]

More on Perl Schwartzian transform

In computer science, the Schwartzian transform is a Perl programming
  idiom used to improve the efficiency of sorting a list of items. This
  idiom is appropriate for comparison-based sorting when the ordering is
  actually based on the ordering of a certain property (the key) of the
  elements, where computing that property is an intensive operation that
  should be performed a minimal number of times. The Schwartzian
  Transform is notable in that it does not use named temporary arrays.

"
"[INST] I'm searching for the fastest way to know if a value exists in a list (a list with millions of values in it) and what its index is? I know all values in the list are unique like my example.
My first methods I try is(3.8sec in my real code):
a = [4,2,3,1,5,6]

if a.count(7) == 1:
    b=a.index(7)
    ""Do something with variable b""

My second methods I try is (2x faster:1.9sec on my real code):
a = [4,2,3,1,5,6]

try:
    b=a.index(7)
except ValueError:
    ""Do nothing""
Else:
    ""Do something with variable b""

Proposed methods from S.O. user (2.74sec on my real code):
a = [4,2,3,1,5,6]
if 7 in a:
    a.index(7)

In my real code , first method take 3.81sec and the second methods take 1.88sec.
It's a good improvement but:
I'm a beginner with Python/scripting and I want to know if a fastest way exist to do the same things and save more process time?
More specific explication for my application:
In the API of blender a can access to a list of particles:
particles = [1,2,3,4...etc.]

From there , I can access to it's location:
particles[x].location = [x,y,z]

And I test for each particles if a neighbour exist by searching
in the location of each particles like:
if [x+1,y,z] in particles.location
    ""find the identity of this neighbour particles in x:the index 
    of the particles array""
    particles.index([x+1,y,z])

 [/INST] I think you'd better off doing:
if 'x' in mylist:
    print ""locations found in x""

  -1,2-3,","I'm searching for the fastest way to know if a value exists in a list (a list with millions of values in it) and what its index is? I know all values in the list are unique like my example.
My first methods I try is(3.8sec in my real code):
a = [4,2,3,1,5,6]

if a.count(7) == 1:
    b=a.index(7)
    ""Do something with variable b""

My second methods I try is (2x faster:1.9sec on my real code):
a = [4,2,3,1,5,6]

try:
    b=a.index(7)
except ValueError:
    ""Do nothing""
Else:
    ""Do something with variable b""

Proposed methods from S.O. user (2.74sec on my real code):
a = [4,2,3,1,5,6]
if 7 in a:
    a.index(7)

In my real code , first method take 3.81sec and the second methods take 1.88sec.
It's a good improvement but:
I'm a beginner with Python/scripting and I want to know if a fastest way exist to do the same things and save more process time?
More specific explication for my application:
In the API of blender a can access to a list of particles:
particles = [1,2,3,4...etc.]

From there , I can access to it's location:
particles[x].location = [x,y,z]

And I test for each particles if a neighbour exist by searching
in the location of each particles like:
if [x+1,y,z] in particles.location
    ""find the identity of this neighbour particles in x:the index 
    of the particles array""
    particles.index([x+1,y,z])

","7 in a

Clearest and fastest way to do it.
You can also consider using a set, but constructing that set from your list may take more time than faster membership testing will save. The only way to be certain is to benchmark well. (this also depends on what operations you require)
"
"[INST] from mechanize import Browser
br = Browser()
br.open('http://somewebpage')
html = br.response().readlines()
for line in html:
  print line

When printing a line in an HTML file, I'm trying to find a way to only show the contents of each HTML element and not the formatting itself. If it finds '<a href=""whatever.com"">some text</a>', it will only print 'some text', '<b>hello</b>' prints 'hello', etc. How would one go about doing this?
 [/INST] I've found that if you want to only show the contents of each HTML element (as opposed to the context in which they were originally defined) you can do:
for line in html:
    print line.rstrip()

  which, I think, is cleaner, 
  I'm not sure if it's just a matter of taste.
  if len(html) == 0:
    print html

  I think this is more pythonic than doing the wiess ""for each line in the HTML"" thing, but I'm not sure why it's getting more and only contextual information when I want to do the same thing in contexts where I would actually want to do ""for every line in the HTML"".
For example, given this HTML: <table> <tr> <td>some text</td>
  <tr> <td>some more text</td>
  </tr>

You can easily go iterate over the elements in the HTML element and then do for each line, just change the contexts.
For example, if you want to print the first line, and only the second line, you can do:
for line in html:
  print line

This way you can change the context to be <table> instead of <tr> and then go <td>some other way</td>
  in
  if len(lines) == 0:
    print line[0]
  if len(lines) == 1:
    print line[1]

if len(lines) == len(already_used):
  print lines[0]

This way you only need to iterate over the","from mechanize import Browser
br = Browser()
br.open('http://somewebpage')
html = br.response().readlines()
for line in html:
  print line

When printing a line in an HTML file, I'm trying to find a way to only show the contents of each HTML element and not the formatting itself. If it finds '<a href=""whatever.com"">some text</a>', it will only print 'some text', '<b>hello</b>' prints 'hello', etc. How would one go about doing this?
","Short version!
import re, cgi
tag_re = re.compile(r'(<!--.*?-->|<[^>]*>)')

# Remove well-formed tags, fixing mistakes by legitimate users
no_tags = tag_re.sub('', user_input)

# Clean up anything else by escaping
ready_for_web = cgi.escape(no_tags)

Regex source: MarkupSafe.  Their version handles HTML entities too, while this quick one doesn't.
Why can't I just strip the tags and leave it?
It's one thing to keep people from <i>italicizing</i> things, without leaving is floating around.  But it's another to take arbitrary input and make it completely harmless.  Most of the techniques on this page will leave things like unclosed comments (<!--) and angle-brackets that aren't part of tags (blah <<<><blah) intact.  The HTMLParser version can even leave complete tags in, if they're inside an unclosed comment.
What if your template is {{ firstname }} {{ lastname }}?  firstname = '<a' and lastname = 'href=""http://evil.com/"">' will be let through by every tag stripper on this page (except @Medeiros!), because they're not complete tags on their own.  Stripping out normal HTML tags is not enough.
Django's strip_tags, an improved (see next heading) version of the top answer to this question, gives the following warning:

Absolutely NO guarantee is provided about the resulting string being HTML safe. So NEVER mark safe the result of a strip_tags call without escaping it first, for example with escape().

Follow their advice!
To strip tags with HTMLParser, you have to run it multiple times.
It's easy to circumvent the top answer to this question.
Look at this string (source and discussion):
<img<!-- --> src=x onerror=alert(1);//><!-- -->

The first time HTMLParser sees it, it can't tell that the <img...> is a tag.  It looks broken, so HTMLParser doesn't get rid of it.  It only takes out the <!-- comments -->, leaving you with
<img src=x onerror=alert(1);//>

This problem was disclosed to the Django project in March, 2014.  Their old strip_tags was essentially the same as the top answer to this question.  Their new version basically runs it in a loop until running it again doesn't change the string:
# _strip_once runs HTMLParser once, pulling out just the text of all the nodes.

def strip_tags(value):
    """"""Returns the given HTML with all tags stripped.""""""
    # Note: in typical case this loop executes _strip_once once. Loop condition
    # is redundant, but helps to reduce number of executions of _strip_once.
    while '<' in value and '>' in value:
        new_value = _strip_once(value)
        if len(new_value) >= len(value):
            # _strip_once was not able to detect more tags
            break
        value = new_value
    return value

Of course, none of this is an issue if you always escape the result of strip_tags().
Update 19 March, 2015: There was a bug in Django versions before 1.4.20, 1.6.11, 1.7.7, and 1.8c1.  These versions could enter an infinite loop in the strip_tags() function.  The fixed version is reproduced above.  More details here.
Good things to copy or use
My example code doesn't handle HTML entities - the Django and MarkupSafe packaged versions do.
My example code is pulled from the excellent MarkupSafe library for cross-site scripting prevention.  It's convenient and fast (with C speedups to its native Python version).  It's included in Google App Engine, and used by Jinja2 (2.7 and up), Mako, Pylons, and more.  It works easily with Django templates from Django 1.7.
Django's strip_tags and other html utilities from a recent version are good, but I find them less convenient than MarkupSafe.  They're pretty self-contained, you could copy what you need from this file.
If you need to strip almost all tags, the Bleach library is good.  You can have it enforce rules like ""my users can italicize things, but they can't make iframes.""
Understand the properties of your tag stripper!  Run fuzz tests on it!  Here is the code I used to do the research for this answer.
sheepish note - The question itself is about printing to the console, but this is the top Google result for ""python strip html from string"", so that's why this answer is 99% about the web.
"
"[INST] I would like to use argparse to parse boolean command-line arguments written as ""--foo True"" or ""--foo False"". For example:
my_program --my_boolean_flag False

However, the following test code does not do what I would like:
import argparse
parser = argparse.ArgumentParser(description=""My parser"")
parser.add_argument(""--my_bool"", type=bool)
cmd_line = [""--my_bool"", ""False""]
parsed_args = parser.parse(cmd_line)

Sadly, parsed_args.my_bool evaluates to True. This is the case even when I change cmd_line to be [""--my_bool"", """"], which is surprising, since bool("""") evalutates to False.
How can I get argparse to parse ""False"", ""F"", and their lower-case variants to be False?
 [/INST] The --my_bool flag is a standard convention in the Python world, and you should be careful not to overload the ""--my_bool"" term with a default value of False, unless you have specified a different type of command-line argument.
--my_bool False

This is documented in the --my-bool command of the Python type system. --my_bool is False by default, and --bool is True by default.
This behaviour is not in the spirit of the ""--my-bool"" type of command-line interfaces, but you can get around it by writing a function that accepts bool as the first parameter, and then adds a ""--my_bool"" flag if needed.
def my_bool(bool):
    return '--my_bool'

def main():
    cmd_line = [""--my_bool"", ""--my_bool""]
    command_line = [bool(bool) for bool in [False, True])
    if command_bool == True:
        command_line = [--my_bool""]
        if command_bool == ""False"":
            command_line = "" --my_bool""
        return

--my_bool is a boolean flag that can be passed as a parameter in the command line.
  # my_bool is False by default

--my_bool is False in the usual sense","I would like to use argparse to parse boolean command-line arguments written as ""--foo True"" or ""--foo False"". For example:
my_program --my_boolean_flag False

However, the following test code does not do what I would like:
import argparse
parser = argparse.ArgumentParser(description=""My parser"")
parser.add_argument(""--my_bool"", type=bool)
cmd_line = [""--my_bool"", ""False""]
parsed_args = parser.parse(cmd_line)

Sadly, parsed_args.my_bool evaluates to True. This is the case even when I change cmd_line to be [""--my_bool"", """"], which is surprising, since bool("""") evalutates to False.
How can I get argparse to parse ""False"", ""F"", and their lower-case variants to be False?
","I was looking for the same issue, and imho the pretty solution is :
def str2bool(v):
  return v.lower() in (""yes"", ""true"", ""t"", ""1"")

and using that to parse the string to boolean as suggested above.
"
"[INST] For example I have two dicts:
Dict A: {'a':1, 'b':2, 'c':3}
Dict B: {'b':3, 'c':4, 'd':5}

I need a pythonic way of 'combining' two dicts such that the result is :
{'a':1, 'b':5, 'c':7, 'd':5}

That is to say: if a key appears in both dicts, add their values, if it appears in only one dict, keep its value.
 [/INST] If you only need to combine two dicts in one, you can do this:
b = {'a':1, 'c':5, 'd':5}

b.keys() == ['a', 'c', 'd']

b.keys() == ['a', 'c', 'd']

  - if a key appears in both dicts, the result is :
   ('a':1, 'c':5, 'd':5})

from collections import defaultdict
m = {
   'a':1,
   'b':5,
   'c':7,
   'd':8}

def add_dict(a,b,c):
   if a == b:
   return a + b
   if a == b:   return b

def add_dict(c,d):
   return [a, b, 'c']

def A(a,b,c):
   if a == b:   return {'a':b, 'c':b}
   if b == 'c':   return {'c':b, 'd':d}

def A_from_dict(a):
   b = {'a':b, 'c':b}
   return (A+dict(a), b, c)

from collections import defaultdict
a = [('b', 'c), 'd': 'd'])

def B_from_dict(a):
   return {'b':a, 'c':b}

>>> A = dict()
>>> B = {'a':b, 'c':d}
>>> B = B.get(('b':1, 'c':","For example I have two dicts:
Dict A: {'a':1, 'b':2, 'c':3}
Dict B: {'b':3, 'c':4, 'd':5}

I need a pythonic way of 'combining' two dicts such that the result is :
{'a':1, 'b':5, 'c':7, 'd':5}

That is to say: if a key appears in both dicts, add their values, if it appears in only one dict, keep its value.
",">>> A = {'a':1, 'b':2, 'c':3}
>>> B = {'b':3, 'c':4, 'd':5}
>>> c = {x: A.get(x, 0) + B.get(x, 0) for x in set(A).union(B)}
>>> print(c)

{'a': 1, 'c': 7, 'b': 5, 'd': 5}

"
"[INST] I have a df :
>>> df
                 STK_ID  EPS  cash
STK_ID RPT_Date                   
601166 20111231  601166  NaN   NaN
600036 20111231  600036  NaN    12
600016 20111231  600016  4.3   NaN
601009 20111231  601009  NaN   NaN
601939 20111231  601939  2.5   NaN
000001 20111231  000001  NaN   NaN

Then I just want the records whose EPS is not NaN, that is, df.drop(....) will return the dataframe as below:
                  STK_ID  EPS  cash
STK_ID RPT_Date                   
600016 20111231  600016  4.3   NaN
601939 20111231  601939  2.5   NaN

How to do that ?
 [/INST]agliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliadorfagliadorfdorfagliadorfdorfagliaagliaagliadorfdorfagliadorfagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaagliaaglia","I have a df :
>>> df
                 STK_ID  EPS  cash
STK_ID RPT_Date                   
601166 20111231  601166  NaN   NaN
600036 20111231  600036  NaN    12
600016 20111231  600016  4.3   NaN
601009 20111231  601009  NaN   NaN
601939 20111231  601939  2.5   NaN
000001 20111231  000001  NaN   NaN

Then I just want the records whose EPS is not NaN, that is, df.drop(....) will return the dataframe as below:
                  STK_ID  EPS  cash
STK_ID RPT_Date                   
600016 20111231  600016  4.3   NaN
601939 20111231  601939  2.5   NaN

How to do that ?
","You could use dataframe method notnull or inverse of isnull, or numpy.isnan:
In [332]: df[df.EPS.notnull()]
Out[332]:
   STK_ID  RPT_Date  STK_ID.1  EPS  cash
2  600016  20111231    600016  4.3   NaN
4  601939  20111231    601939  2.5   NaN


In [334]: df[~df.EPS.isnull()]
Out[334]:
   STK_ID  RPT_Date  STK_ID.1  EPS  cash
2  600016  20111231    600016  4.3   NaN
4  601939  20111231    601939  2.5   NaN


In [347]: df[~np.isnan(df.EPS)]
Out[347]:
   STK_ID  RPT_Date  STK_ID.1  EPS  cash
2  600016  20111231    600016  4.3   NaN
4  601939  20111231    601939  2.5   NaN

"
"[INST] How do I delete a file or folder in Python?
I am using the Python scripting language running on the Windows XP operating system.
 [/INST] from http://www.python-institute.com/en/scripts/PE.py
def __main__():
    # define Python scripting language
    # scripting language
    #  define python scripting language
    # scripting language
    # define http://www.pythonpe.com/?
    # define http://www.pythonpe.com/?
    # define http://www.pythonpe.com/?
    # define __main__()

  /Users/INSTALL, define http://?

    # define http://www.pythonpe.com/?
    # define http://?
    # define http://?

 [/INST] def __main__():
    # define http:
    # define http:
    # define http://?
    # define http:
    # define http://
    # define http (
    # a/
    # define http://
    # a/
    # a/

# define __main__():
    # a/
    # define http:
        # define http:
        # define http:
        # define http:
    # define http:
        # define http:
        # define http:
        # define http

I/a/
# define http:
    # define http:

 [/INST] def __main():
    # define http:
        # define http:

    # define http:

 [/a/1]
def __main():
    # define http:
    # define http:

 [/a/]
def __main():
    # define http:
    # define http:
    # define http:
    # define __main():

 [/a/1]
def __main():
    # define http:
    # define http:
    # define http:
    # define __main():
","How do I delete a file or folder in Python?
I am using the Python scripting language running on the Windows XP operating system.
","os.remove() will remove a file.
os.rmdir() will remove an empty directory.
shutil.rmtree() will delete a directory and all its contents.
"
"[INST] pip is a replacement for easy_install. But should I install pip using easy_install on Windows?  Is there a better way?
 [/INST] I've had a really nice experience with easy_install on Windows 7, it just works and is really fast (and clean, on both Python and IPython).
http://pypi.python.org/simple/install/
http://code.google.com/p/gettingstartedwithpython
http://www.skymem.com/gettingstartedwithpython/
http://www.skymem.com/gettingstartwithpython/
http://www.skymem.com/gettingstartwithpython/
I used this code to install everything I needed: from skylit import easy_install
from skylit import easy_install
print ""installing required packages:  ""
print ""gotcha!""

and the actual installation message: ""installing required packages:  ""

http://skylit.skymem.com/gettingstartwithpython/installing_with_installers/
http://skylit.skymet/gettingstartwithpython/installers/
http://www.skylit.skymem.com/gettingstartwithpython/installers/
http://skylit.skymet/installers/gettingstartwithpython/installers/lxml
http://skymet.skymet.com/gettingstartwithpython/installers/lxml

I've gotten really really fast at installing on Linux. I just wish I could do it with windows, since I don't have to keep running.py files in the command line, and I don't have to keep running the command line.
http://skymet.skymet.com/lxml
and also: http://www.skymem.com/lxml/
and/or
http://www.skymem.com/lxml/
and/or
http://www.skymem.com/lxml/
and/or
import simple_install

And/or
http://www.skymet.com/lxml/
and/or
[/INST] simple_install","pip is a replacement for easy_install. But should I install pip using easy_install on Windows?  Is there a better way?
","Python 2.7.9+ and 3.4+
Good news! Python 3.4 (released March 2014) and Python 2.7.9 (released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joins Ruby, Node.js, Haskell, Perl, Go--almost every other contemporary language with a majority open-source community. Thank you Python.
Of course, that doesn't mean Python packaging is problem solved. The experience remains frustrating. I discuss this in Stack Overflow question Does Python have a package/module management system?.
And, alas for everyone using Python 2.7.8 or earlier (a sizable portion of the community). There's no plan to ship Pip to you. Manual instructions follow.
Python 2 â¤ 2.7.8 and Python 3 â¤ 3.3
Flying in the face of its 'batteries included' motto, Python ships without a package manager. To make matters worse, Pip was--until recently--ironically difficult to install.
Official instructions
Per http://www.pip-installer.org/en/latest/installing.html:
Download get-pip.py, being careful to save it as a .py file rather than .txt. Then, run it from the command prompt:
python get-pip.py

You possibly need an administrator command prompt to do this. Follow Start a Command Prompt as an Administrator (Microsoft TechNet).
Alternative instructions
The official documentation tells users to install Pip and each of its dependencies from source. That's tedious for the experienced, and prohibitively difficult for newbies.
For our sake, Christoph Gohlke prepares Windows installers (.msi) for popular Python packages. He builds installers for all Python versions, both 32 and 64 bit. You need to

Install setuptools
Install pip

For me, this installed Pip at C:\Python27\Scripts\pip.exe. Find pip.exe on your computer, then add its folder (for example, C:\Python27\Scripts) to your path (Start / Edit environment variables). Now you should be able to run pip from the command line. Try installing a package:
pip install httpie

There you go (hopefully)! Solutions for common problems are given below:
Proxy problems
If you work in an office, you might be behind a HTTP proxy. If so, set the environment variables http_proxy and https_proxy. Most Python applications (and other free software) respect these. Example syntax:
http://proxy_url:port
http://username:password@proxy_url:port

If you're really unlucky, your proxy might be a Microsoft NTLM proxy. Free software can't cope. The only solution is to install a free software friendly proxy that forwards to the nasty proxy. http://cntlm.sourceforge.net/
Unable to find vcvarsall.bat
Python modules can be part written in C or C++. Pip tries to compile from source. If you don't have a C/C++ compiler installed and configured, you'll see this cryptic error message.

Error: Unable to find vcvarsall.bat

You can fix that by installing a C++ compiler such as MinGW or Visual C++. Microsoft actually ship one specifically for use with Python. Or try Microsoft Visual C++ Compiler for Python 2.7.
Often though it's easier to check Christoph's site for your package.
"
"[INST] I want to create a list of dates, starting with today, and going back an arbitrary number of days, say, in my example 100 days. Is there a better way to do it than this?
import datetime

a = datetime.datetime.today()
numdays = 100
dateList = []
for x in range (0, numdays):
    dateList.append(a - datetime.timedelta(days = x))
print dateList

 [/INST] >>> from datetime import timedelta
>>> dateList = [a - datetime.timedelta(100) for i in range (100): 'new' + i - datetime.timedelta(100)])

  /new/type/datetime.datetime', [100, 100, [a, 100, 100])
>>> len(dateList)
100

  /new / new / new / new / (100, 100)

  /new / new / new

 [/INST] >>> from datetime import timedelta
>>> new = [i - datetime.timedelta(0) for i in dateutil.itertoolsomex(100)])
>>> new
[100, 100, 100]

  /new / new / new / today / new

  /new / new / new / new

  /new / new / new

  /new / new / new

  /new / new / new / today / new

  /new / new / new / new

  /new / new / new / new

100

100
100

100

new = [100, 100, 100, 100]

  /new / new / new

100

[100, 100, 100 / new, 100]

  [100, 100, 100, 100]

  /new / new / new / new

 ","I want to create a list of dates, starting with today, and going back an arbitrary number of days, say, in my example 100 days. Is there a better way to do it than this?
import datetime

a = datetime.datetime.today()
numdays = 100
dateList = []
for x in range (0, numdays):
    dateList.append(a - datetime.timedelta(days = x))
print dateList

","You can also use the day ordinal to make it simpler:
def daterange(start_date, end_date):
    for ordinal in range(start_date.toordinal(), end_date.toordinal()):
        yield datetime.date.fromordinal(ordinal)

"
"[INST] I have a command line script that I run with a lot of arguments. I have now come to a point where I have too many arguments, and I want to have some arguments in dictionary form too.
So in order to simplify things I would like to run the script with a settings file instead. I don't really know what libraries to use for the parsing of the file. What's the best practice for doing this? I could of course hammer something out myself, but if there is some library for this, I'm all ears.
A few 'demands':

Rather than using pickle I would like it to be a straight forward text file that can easily be read and edited.
I wan't to be able to add dictionary-like data in it, i.e., some form of nesting should be supported.

A simplified pseudo example file:
truck:
    color: blue
    brand: ford
city: new york
cabriolet:
    color: black
    engine:
        cylinders: 8
        placement: mid
    doors: 2

 [/INST] I think you'll find this answer somewhere in the future, but for the sake of completeness I'll add an outlier to the answer so that other answers don't have to know the inner workings of what's going on underneath the hood.
You'll need to have a way to tell the script that it's from, probably just a path to a file that will be read by the engine (plate), but brand new will have to be the name of the city you want the engine to be running.  I assume all these are out of this realm in a playful way, but I can't really think of how to do this properly.
import collections

outfile = collections.getnamed('pickle')
for k in collections.namedtuple('plate'):
    if k == 'new':
        do_stuff

# collections/outfile:
from collections import namedtuple
outfile = ['plate', 'brand']

def inner_outdoor(city):
    outfile = collections.namedtuple('plate', 'brand')
    outfile[0] = outfile[0]","I have a command line script that I run with a lot of arguments. I have now come to a point where I have too many arguments, and I want to have some arguments in dictionary form too.
So in order to simplify things I would like to run the script with a settings file instead. I don't really know what libraries to use for the parsing of the file. What's the best practice for doing this? I could of course hammer something out myself, but if there is some library for this, I'm all ears.
A few 'demands':

Rather than using pickle I would like it to be a straight forward text file that can easily be read and edited.
I wan't to be able to add dictionary-like data in it, i.e., some form of nesting should be supported.

A simplified pseudo example file:
truck:
    color: blue
    brand: ford
city: new york
cabriolet:
    color: black
    engine:
        cylinders: 8
        placement: mid
    doors: 2

","Take a look at python standard config parser.
EDIT: Since nesting seems to be that important, you might consider handling your config file through JSON format.
It then becomes a matter of using the json module with dumps and loads methods that will work with dictionaries nested to any level you want.
"
"[INST] I want to set up a complete Python IDE in Sublime Text 2.
I want to know how to run the Python code from within the editor. Is it done using build system? How do I do it ?
 [/INST] You can use Sublime REPL (you need to install REPL) and then run the Python code from within the editor (it will open a text editor with the chosen project)
  /nano/python/projects/build/build/sublaco/content/Python/christoph)

  /nano/Python/sublaco/d/sn/[projectname] /d/Python/sublaco/[projectname]

 (from http://www.skysys.com/sublaco/)
  (nano/Python/sublaco/Christoph/projects/[projectname]/)

  (I've got it working, but I'm having trouble finding how to actually run the code).
 [/INST] I've found that Sublaco actually works with Python - I just had to run the Python command from the command line, and it worked perfectly.
  Note that the above works for Python 2.7, but I've heard that the Python 3.4 (which was released this week) supports it too).
  (nomenclate.sublaco/[projectname] /[projectname] /path/sublaco/[projectname])/sublaco/
  (note that the.sublaco/[projectname] part is not necessary, I just didn't bother include it.)

  (I've checked the docs, and it mentions using the -o /nano/build/ [name] [name] [type] [action]][name] values, which I assumed means the [name] parameters are the ones that are passed to the Python 3.0 / JavaScript 2.5 (I've gleaned the info from here :)
   ?
    /nano/Python/sublaco/[name] [name] [action]][[name])
    -o-a-button-button-like-button-button-type-button-d-action-","I want to set up a complete Python IDE in Sublime Text 2.
I want to know how to run the Python code from within the editor. Is it done using build system? How do I do it ?
","On Mac OS X, save your file with a .py extension. Press â+B.  It runs in a window below.

"
"[INST] How can I parse a YAML file in Python?
 [/INST] from [radon]

>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>
>>>","How can I parse a YAML file in Python?
","If you have YAML that conforms to the YAML 1.2 specification (released 2009) then you should use ruamel.yaml (disclaimer: I am the author of that package).
It is essentially a superset of PyYAML, which supports a most of YAML 1.1 (from 2005).
If you want to be able to preserve your comments when round-tripping, you certainly should use ruamel.yaml.   
Upgrading @Jon's example is easy:
import ruamel.yaml as yaml

with open(""example.yaml"") as stream:
    try:
        print(yaml.load(stream))
    except yaml.YAMLError as exc:
        print(exc)

"
